prabhag_no,%_of_hh_with_underground_drainage_connection_in_society_data,%_hh_with_underground_drainage_connection_in_slums_data,%_of_hh_with_underground_drainage_connection_in_chawls_and_gaothan_data,number_of_community_toilet_seats,number_of_free_public_toilet_seats_for_female,number_of_paid_public_toilet_seats_for_male,number_of_paid_public_toilet_seats_for_female,number_of_urinals_for_male,number_of_residents_not_covered_with_toilet_seats,,%_of_hh_with_underground_drainage_connection_in_societies,%_of_hh_with_underground_drainage_connection_in_slums,%_of_hh_with_underground_drainage_connection_in_chawl_and_gaothan,number_of_residents_not_covered_with_toilet_seats,number_of_community_toilet_seats_required= (number of hh without toilet seats*5(family size)/Std for community toilets (e.g. 1 for 40 people),number_of_functioning_community_toilet_seats_available/number_of_community_toilet_seats_required,total_length_of_roads_in_prabhag _in_km,number_of_functioning_public_toilet_seats,number_of_functioning_toilet_seats_required=total_road_length_in_prabhag,number_of_functioning _public_toilet_seats/number_of_public_toilet_seats_required,,societies_drainage_connection_value,max_value,min_value,societies_drainage_connection_index,slums_drainage_connection_value,max_value,min_value,slums_drainage_connection_index,chawls_drainage_connection_value,max_value,min_value,chawls_drainage_connection_index,value_of_available_community_toilets_against_required_community_toilets,max_value,min_value,community_toilet_index,value_of_available_public_toilets_against_required_public_toilets,max_value,min_value,public_toilet_index,final_sanitation_index
11,100,100,100,250,27,91,90,11,2700,,100.00,100.00,100.00,2700.00,67.50,3.70,10.05,208.00,10.05,20.70,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,3.70,227600.00,0.00,0.00,20.70,101.33,0.00,0.20,0.78
12,100,100,100,250,10,46,38,19,855,,100.00,100.00,100.00,855.00,21.38,11.70,30.00,94.00,30.00,3.13,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,11.70,227600.00,0.00,0.00,3.13,101.33,0.00,0.03,0.77
13,100,100,100,240,107,142,111,26,2200,,100.00,100.00,100.00,2200.00,55.00,4.36,10.10,360.00,10.10,35.64,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,4.36,227600.00,0.00,0.00,35.64,101.33,0.00,0.35,0.79
14,100,90,90,52,26,31,16,15,0.1,,100.00,90.00,90.00,0.10,0.00,20800.00,9.50,73.00,9.50,7.68,,100.00,100.00,70.00,1.00,90.00,100.00,20.00,0.88,90.00,100.00,1.00,0.90,20800.00,227600.00,0.00,0.09,7.68,101.33,0.00,0.08,0.72
15,100,90,95,569,6,289,280,6,0.1,,100.00,90.00,95.00,0.10,0.00,227600.00,9.37,575.00,9.37,61.37,,100.00,100.00,70.00,1.00,90.00,100.00,20.00,0.88,95.00,100.00,1.00,0.95,227600.00,227600.00,0.00,1.00,61.37,101.33,0.00,0.61,0.90
16,95,95,95,32,20,164,167,2,0.1,,95.00,95.00,95.00,0.10,0.00,12800.00,12.50,351.00,12.50,28.08,,95.00,100.00,70.00,0.83,95.00,100.00,20.00,0.94,95.00,100.00,1.00,0.95,12800.00,227600.00,0.00,0.06,28.08,101.33,0.00,0.28,0.71
17,90,90,100,167,80,103,132,13,621,,90.00,90.00,100.00,621.00,15.53,10.76,40.00,315.00,40.00,7.88,,90.00,100.00,70.00,0.67,90.00,100.00,20.00,0.88,100.00,100.00,1.00,1.00,10.76,227600.00,0.00,0.00,7.88,101.33,0.00,0.08,0.67
18,97.5,100,95,40,0,2,2,3,0.1,,97.50,100.00,95.00,0.10,0.00,16000.00,42.50,4.00,42.50,0.09,,97.50,100.00,70.00,0.92,100.00,100.00,20.00,1.00,95.00,100.00,1.00,0.95,16000.00,227600.00,0.00,0.07,0.09,101.33,0.00,0.00,0.74
19,100,20,95,10,5,0,0,3,1497,,100.00,20.00,95.00,1497.00,37.43,0.27,38.00,5.00,38.00,0.13,,100.00,100.00,70.00,1.00,20.00,100.00,20.00,0.00,95.00,100.00,1.00,0.95,0.27,227600.00,0.00,0.00,0.13,101.33,0.00,0.00,0.62
20,100,100,100,361,175,8,8,8,11,,100.00,100.00,100.00,11.00,0.28,1312.73,20.00,191.00,20.00,9.55,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,1312.73,227600.00,0.00,0.01,9.55,101.33,0.00,0.09,0.78
